,location,bath,size_new,sqft
3532,Cox Town,3.0,3,1650.0
3533,Doddathoguru,3.0,3,1875.0
3534,Whitefield,3.0,3,1350.0
3535,other,2.0,2,1219.0
3536,other,4.0,4,1200.0
3537,Sarjapura - Attibele Road,3.0,3,2400.0
3538,Hormavu,2.0,2,1141.0
3539,Anandapura,2.0,2,1151.0
3541,Sarjapur  Road,2.0,2,915.0
3542,other,3.0,3,3259.0
3543,Bannerghatta Road,2.0,2,1115.0
3544,Thigalarapalya,4.0,3,2072.0
3545,Kaggadasapura,2.0,2,1200.0
3546,Singasandra,2.0,2,1300.0
3547,Bellandur,2.0,2,1457.0
3548,Kannamangala,2.0,2,1262.0
3550,Ananth Nagar,2.0,2,900.0
3551,Attibele,1.0,1,420.0
3552,Kanakapura,2.0,2,1160.0
3553,Kasavanhalli,2.0,2,1115.0
3554,JP Nagar,2.0,3,1315.0
3555,Babusapalaya,2.0,2,1500.0
3556,HSR Layout,2.0,2,1127.0
3557,Kundalahalli,3.0,3,1397.0
3558,Whitefield,2.0,2,1173.0
3559,Sompura,2.0,2,1090.0
3560,Sarjapur  Road,5.0,3,2720.0
3561,Jakkur,2.0,2,1230.0
3562,other,3.0,4,3200.0
3563,Sarjapur  Road,2.0,2,858.0
3564,Talaghattapura,3.0,3,1868.0
3565,Uttarahalli,3.0,3,1689.28
3567,Banashankari,3.0,3,1425.0
3569,Tindlu,2.0,2,1350.0
3570,Channasandra,6.0,6,4200.0
3571,Uttarahalli,2.0,3,1310.0
3572,other,2.0,2,970.0
3573,Kundalahalli,3.0,3,1397.0
3574,Sarjapur,2.0,2,1157.0
3575,Kasavanhalli,2.0,2,1125.0
3576,Sonnenahalli,2.0,2,1157.0
3577,Sarjapur  Road,2.0,2,1241.0
3578,Binny Pete,1.0,1,660.0
3579,Marathahalli,4.0,4,4000.0
3580,Rajiv Nagar,4.0,4,2340.0
3581,other,1.0,1,596.0
3582,other,16.0,16,10000.0
3583,other,4.0,4,1200.0
3584,other,3.0,3,1910.0
3585,Brookefield,2.0,2,1139.0
3586,Thigalarapalya,5.0,4,3122.0
3587,Sarjapura - Attibele Road,2.0,2,1033.0
3588,Yeshwanthpur,2.0,2,1168.0
3589,Chandapura,2.0,2,877.0
3590,Electronics City Phase 1,2.0,2,1340.0
3591,other,2.0,3,1405.0
3592,other,3.0,3,1800.0
3593,other,3.0,3,1750.0
3594,other,2.0,3,1360.0
3596,other,2.0,2,985.0
3597,other,2.0,2,1300.0
3598,7th Phase JP Nagar,3.0,3,1850.0
3599,other,2.0,3,1490.0
3600,other,1.0,2,620.0
3601,Hormavu,2.0,2,1130.0
3602,Yelachenahalli,2.0,2,1080.0
3603,Singasandra,4.0,4,3126.0
3604,Begur Road,2.0,3,1410.0
3605,Bommanahalli,3.0,3,1375.0
3606,Hennur Road,2.0,3,1290.0
3607,Hosa Road,2.0,3,1318.0
3608,Electronic City,2.0,2,1128.0
3609,other,4.0,4,4428.0
3610,Kanakpura Road,2.0,2,1051.0
3611,Kengeri,5.0,3,3500.0
3612,Kannamangala,4.0,4,2400.0
3613,Yelahanka,2.0,2,1327.0
3614,Thigalarapalya,6.0,4,2912.0
3615,other,2.0,2,1301.0
3616,other,1.0,1,650.0
3617,Varthur,3.0,3,1200.0
3618,other,2.0,3,1500.0
3619,other,6.0,4,2700.0
3620,other,4.0,4,1350.0
3621,Electronic City Phase II,2.0,2,1000.0
3622,Sarjapur  Road,2.0,2,984.0
3623,Jakkur,3.0,3,1819.18
3624,Nagarbhavi,1.0,1,900.0
3625,Hebbal,3.0,3,1355.0
3626,Sarakki Nagar,4.0,3,2145.0
3627,Malleshwaram,4.0,3,2475.0
3628,Kaggadasapura,2.0,2,1118.0
3629,other,1.0,1,910.0
3630,other,3.0,3,1250.0
3631,Hosakerehalli,2.0,2,1304.0
3632,Begur Road,3.0,3,1615.0
3633,Sarjapur  Road,2.0,2,1400.0
3634,CV Raman Nagar,2.0,2,1070.0
3635,Hebbal,3.0,3,3500.0
3636,Hoodi,2.0,2,1132.0
3637,other,3.0,3,2000.0
3638,Hebbal,5.0,7,2400.0
3639,Sector 2 HSR Layout,1.0,1,794.0
3640,Raja Rajeshwari Nagar,2.0,2,1090.0
3641,Gottigere,3.0,3,1500.0
3642,1st Phase JP Nagar,3.0,3,2059.0
3643,Kanakpura Road,1.0,1,525.0
3644,Bhoganhalli,2.0,2,1447.0
3645,Whitefield,2.0,2,1269.0
3646,other,4.0,4,4800.0
3647,Kanakpura Road,2.0,2,1070.0
3648,Talaghattapura,2.0,2,1150.0
3649,Marathahalli,2.0,2,1208.0
3650,Ramamurthy Nagar,2.0,2,1185.0
3651,Laggere,3.0,3,1200.0
3652,Anekal,2.0,2,888.0
3653,Chandapura,2.0,2,1015.0
3654,other,1.0,1,532.0
3655,other,3.0,3,1060.0
3656,Electronic City,1.0,1,700.0
3657,other,2.0,2,902.0
3659,Uttarahalli,2.0,2,1175.0
3660,Binny Pete,2.0,2,1365.0
3661,Doddathoguru,2.0,2,984.0
3662,Hebbal,2.0,4,2700.0
3663,Jalahalli East,3.0,3,1475.0
3664,Haralur Road,2.0,2,1300.0
3666,Babusapalaya,2.0,3,1453.0
3667,other,2.0,2,1550.0
3668,Akshaya Nagar,3.0,3,1666.0
3669,Akshaya Nagar,4.0,4,1410.0
3670,Yelahanka,5.0,4,4025.0
3671,Murugeshpalya,3.0,3,1845.0
3672,Sarjapura - Attibele Road,3.0,3,1676.0
3673,Uttarahalli,2.0,2,1137.0
3674,Electronic City,2.0,3,1360.0
3675,other,2.0,3,1374.0
3676,Judicial Layout,3.0,3,1700.0
3677,Whitefield,5.0,5,3227.0
3678,other,4.0,4,2145.0
3679,Koramangala,6.0,4,2400.0
3680,Kasavanhalli,3.0,3,2170.0
3681,other,2.0,2,1080.0
3682,Electronic City Phase II,3.0,3,1790.0
3683,Doddathoguru,1.0,1,550.0
3684,Poorna Pragna Layout,2.0,3,1270.0
3685,Somasundara Palya,2.0,2,1033.0
3686,other,2.0,2,1000.0
3687,Binny Pete,6.0,4,2940.0
3688,other,2.0,2,1240.0
3689,Kasturi Nagar,5.0,5,1650.0
3690,Kambipura,2.0,2,883.0
3691,other,2.0,3,1500.0
3692,Marathahalli,3.0,3,1730.0
3693,Kasavanhalli,3.0,3,1915.0
3694,Whitefield,3.0,3,1545.0
3695,other,4.0,3,1865.0
3696,Hebbal Kempapura,2.0,2,1150.0
3697,other,2.0,2,1200.0
3698,Kengeri,2.0,2,963.0
3699,Marsur,3.0,3,1200.0
3700,Basavangudi,4.0,4,2600.0
3701,Kaikondrahalli,4.0,4,1700.0
3702,Lingadheeranahalli,3.0,3,1682.0
3703,Yelahanka,2.0,3,1371.0
3704,Hennur Road,2.0,2,901.0
3706,Ambalipura,3.0,3,1730.0
3707,Konanakunte,4.0,4,1200.0
3708,EPIP Zone,3.0,3,1500.0
3709,Sarjapur  Road,6.0,4,3785.0
3710,other,4.0,4,3500.0
3711,other,2.0,2,1203.0
3712,Horamavu Banaswadi,2.0,2,1357.0
3713,other,3.0,3,1600.0
3714,Yelahanka New Town,1.0,1,350.0
3715,Varthur,3.0,3,1665.0
3716,Ramamurthy Nagar,3.0,3,1400.0
3717,Sarjapur  Road,1.0,1,835.0
3718,other,3.0,2,815.0
3719,Haralur Road,2.0,3,1444.0
3720,Kanakapura,2.0,2,1277.0
3721,Lingadheeranahalli,3.0,3,1521.0
3722,other,2.0,2,1134.0
3723,Vasanthapura,2.0,2,995.0
3724,Old Madras Road,5.0,3,2760.0
3725,Marathahalli,1.0,2,1325.0
3726,Kothanur,6.0,6,4000.0
3727,Marathahalli,3.0,3,1525.0
3728,other,2.0,3,1320.0
3729,Electronics City Phase 1,1.0,1,650.0
3730,Old Airport Road,2.0,3,1858.0
3731,Electronic City,2.0,2,1150.0
3732,Electronic City Phase II,2.0,2,769.0
3733,Electronic City,3.0,3,1571.0
3734,Hennur Road,3.0,3,1445.0
3735,Hosur Road,2.0,3,1590.0
3736,Bommasandra,2.0,2,902.0
3737,Sarjapur,3.0,3,2238.0
3738,Electronic City,2.0,2,1090.0
3739,Yelahanka,3.0,3,1712.0
3740,Haralur Road,2.0,2,1088.0
3741,Somasundara Palya,3.0,3,1575.0
3742,other,6.0,6,2150.0
3743,Kundalahalli,3.0,3,1920.0
3744,Margondanahalli,2.0,2,1000.0
3745,other,2.0,2,1100.0
3746,Electronic City,2.0,2,1089.0
3747,Horamavu Agara,2.0,2,1106.0
3748,Kengeri,2.0,2,927.0
3749,Kanakpura Road,2.0,2,1339.0
3750,Thanisandra,1.0,1,923.0
3751,Sarjapur  Road,3.0,3,2900.0
3752,Lakshminarayana Pura,2.0,2,1175.0
3753,Thubarahalli,2.0,2,975.0
3754,Hebbal,4.0,3,2400.0
3755,Subramanyapura,3.0,3,1330.0
3756,Thanisandra,2.0,2,1183.0
3757,Harlur,3.0,3,1758.0
3758,Nagarbhavi,3.0,3,1200.0
3759,Hebbal,2.0,3,1255.0
3761,Pai Layout,2.0,2,1100.0
3762,Ramamurthy Nagar,2.0,2,1170.0
3763,other,5.0,5,2400.0
3764,Raja Rajeshwari Nagar,3.0,3,1530.0
3765,Hebbal,2.0,2,1420.0
3766,other,4.0,4,1200.0
3768,Kanakpura Road,3.0,3,1591.0
3769,7th Phase JP Nagar,3.0,3,1680.0
3770,other,3.0,2,675.0
3771,Hoodi,2.0,2,1055.0
3772,Iblur Village,3.0,3,1918.0
3773,Sarjapur  Road,2.0,2,1280.0
3774,Nagarbhavi,3.0,3,1560.0
3775,Sarjapur  Road,2.0,2,1145.0
3776,Talaghattapura,3.0,3,2106.0
3777,other,3.0,3,1801.0
3779,Rajaji Nagar,3.0,2,1718.0
3780,Whitefield,3.0,3,1306.0
3781,Hebbal,2.0,2,1320.0
3782,other,2.0,3,1350.0
3783,other,4.0,4,2990.0
3784,Kalyan nagar,5.0,4,3800.0
3785,Bannerghatta Road,2.0,3,1344.0
3786,Bannerghatta Road,3.0,3,1893.0
3787,Chandapura,2.0,3,1107.0
3789,Lakshminarayana Pura,2.0,2,1190.0
3790,Whitefield,2.0,2,1000.0
3791,other,2.0,2,2400.0
3792,Kumaraswami Layout,2.0,2,1000.0
3793,Jalahalli,3.0,3,2113.0
3794,KR Puram,2.0,2,1100.0
3796,Harlur,4.0,4,1884.0
3797,Electronic City,2.0,2,1110.0
3798,Kudlu,2.0,2,1027.0
3799,other,3.0,3,1250.0
3800,Sarjapur  Road,3.0,3,1470.0
3801,other,2.0,2,1150.0
3802,other,3.0,3,1200.0
3803,Kudlu Gate,1.0,1,703.0
3804,other,2.0,3,1400.0
3805,Bellandur,2.0,2,1195.0
3806,Narayanapura,2.0,2,1302.0
3807,Begur Road,3.0,3,1583.0
3808,other,2.0,3,1488.0
3810,Kammasandra,2.0,3,1385.0
3811,Whitefield,4.0,4,3262.0
3812,Electronic City,3.0,3,1600.0
3813,Old Airport Road,2.0,2,1150.0
3814,other,9.0,9,4500.0
3815,Sarjapur  Road,2.0,2,1263.0
3817,Kanakpura Road,2.0,2,1299.0
3818,Banashankari,2.0,2,1330.0
3819,Devanahalli,2.0,3,1282.0
3820,other,3.0,3,1853.0
3821,other,2.0,2,861.0
3822,Bannerghatta Road,3.0,3,1600.0
3823,other,2.0,2,1256.0
3824,other,2.0,3,1390.0
3825,other,2.0,3,1550.0
3827,Hebbal,2.0,2,919.0
3828,Margondanahalli,3.0,3,1625.0
3829,Gunjur,2.0,2,1195.0
3830,Domlur,4.0,6,2400.0
3831,Yelenahalli,2.0,2,1159.0
3832,Whitefield,3.0,3,1386.0
3833,Harlur,2.0,2,1197.0
3834,Old Airport Road,4.0,4,2690.0
3835,Bommasandra,2.0,3,1295.0
3836,other,2.0,3,1310.0
3837,Whitefield,2.0,2,1132.0
3838,other,3.0,3,2350.0
3839,other,4.0,4,2400.0
3840,Hebbal,3.0,3,1645.0
3841,Whitefield,2.0,2,1200.0
3842,Whitefield,4.0,4,3000.0
3843,Marathahalli,3.0,3,1937.0
3844,Doddathoguru,2.0,2,1015.0
3845,other,2.0,2,1080.0
3846,Kathriguppe,2.0,3,1350.0
3847,Kengeri Satellite Town,2.0,3,1149.0
3848,Kothanur,2.0,2,1185.0
3849,Domlur,3.0,3,1720.0
3850,Hebbal,3.0,3,2080.0
3851,Tindlu,3.0,3,1500.0
3852,Yelahanka,3.0,3,1566.0
3853,Rajaji Nagar,3.0,3,2386.0
3854,other,4.0,4,1500.0
3855,KR Puram,2.0,2,1290.0
3856,other,3.0,3,1531.0
3857,other,3.0,3,1839.0
3858,other,4.0,4,4200.0
3859,Electronic City Phase II,2.0,3,1400.0
3861,Whitefield,2.0,2,1140.0
3862,Tumkur Road,3.0,3,1343.5
3863,Banashankari Stage III,4.0,4,2000.0
3864,Kaval Byrasandra,2.0,2,1100.0
3865,other,2.0,2,1200.0
3866,Bannerghatta,3.0,3,1618.0
3867,Whitefield,5.0,4,2830.0
3868,Uttarahalli,2.0,3,1315.0
3869,Anandapura,2.0,2,1141.0
3870,AECS Layout,2.0,2,1080.0
3871,HBR Layout,2.0,2,1200.0
3872,Varthur,2.0,2,1111.0
3873,NGR Layout,2.0,2,1022.0
3874,Bannerghatta Road,2.0,2,1275.0
3875,other,2.0,2,900.0
3876,Rachenahalli,2.0,2,1224.0
3877,Battarahalli,2.0,2,1135.0
3878,Rachenahalli,2.0,2,1050.0
3879,Kudlu Gate,3.0,3,1535.0
3880,Nagavarapalya,2.0,2,1392.0
3881,Bellandur,2.0,2,1050.0
3882,Hosa Road,3.0,3,1513.0
3883,Gottigere,3.0,3,1621.0
3884,Bannerghatta Road,2.0,2,892.0
3885,Whitefield,2.0,2,1205.0
3886,Hebbal,3.0,3,1355.0
3889,other,6.0,4,1200.0
3890,Indira Nagar,2.0,2,1400.0
3891,Kengeri,2.0,2,726.0
3892,other,3.0,3,1500.0
3893,Hebbal,4.0,4,3895.0
3894,Horamavu Agara,2.0,2,1079.0
3895,Begur Road,2.0,2,1170.0
3896,Doddathoguru,2.0,2,1104.0
3897,Kanakpura Road,2.0,2,950.0
3898,Hormavu,4.0,4,4818.0
3899,other,2.0,3,1650.0
3900,Kogilu,3.0,3,1559.0
3901,other,2.0,2,1100.0
3902,Benson Town,3.0,3,1750.0
3903,Ramagondanahalli,2.0,2,1215.0
3904,Talaghattapura,3.0,3,1868.0
3905,Electronic City,2.0,2,1130.0
3906,Kanakpura Road,3.0,3,1570.0
3907,Sarjapur  Road,3.0,3,1691.0
3908,Ardendale,3.0,5,4355.0
3909,Hulimavu,2.0,2,1225.0
3910,JP Nagar,3.0,3,1690.0
3911,Thigalarapalya,2.0,2,1418.0
3912,Kasturi Nagar,3.0,4,1896.0
3913,Sonnenahalli,1.0,1,605.0
3915,Electronic City Phase II,2.0,2,900.0
3916,other,2.0,1,750.0
3918,Ananth Nagar,2.0,2,908.0
3919,Sarjapur  Road,6.0,4,3416.5
3920,Thanisandra,4.0,4,3216.0
3921,BEML Layout,4.0,5,2400.0
3922,Iblur Village,2.0,2,1400.0
3923,Kudlu,2.0,2,1092.0
3924,Hulimavu,2.0,2,1255.0
3925,Electronic City,2.0,3,1500.0
3926,Thanisandra,2.0,2,1296.0
3927,Horamavu Banaswadi,2.0,2,925.0
3928,Raja Rajeshwari Nagar,2.0,2,1023.0
3929,other,3.0,2,600.0
3930,Thanisandra,2.0,2,1020.0
3931,Choodasandra,3.0,3,1530.0
3932,Gubbalala,3.0,3,1650.0
3933,other,2.0,3,1605.0
3934,Hosakerehalli,2.0,2,1925.0
3935,Kogilu,2.0,2,1190.0
3936,Jakkur,3.0,3,1374.0
3937,6th Phase JP Nagar,2.0,2,1140.0
3938,Green Glen Layout,3.0,3,1725.0
3939,Bisuvanahalli,2.0,3,1075.0
3940,Kannamangala,3.0,3,1574.0
3941,Sanjay nagar,1.0,1,965.0
3942,Marathahalli,3.0,3,1550.0
3943,other,2.0,2,1205.0
3944,Kambipura,2.0,3,1082.0
3945,Uttarahalli,2.0,3,1215.0
3946,Hebbal,5.0,4,2483.0
3947,other,3.0,2,1200.0
3948,other,1.0,1,1500.0
3949,other,4.0,4,2360.0
3950,Ardendale,4.0,4,3198.0
3951,Kanakpura Road,3.0,3,1452.0
3952,Electronic City Phase II,2.0,3,1329.0
3953,other,2.0,2,1125.0
3954,other,2.0,2,1200.0
3955,Sarjapur  Road,3.0,3,1350.0
3956,Uttarahalli,3.0,3,1312.5
3957,Hebbal,3.0,3,2600.0
3958,other,2.0,2,1200.0
3959,Electronic City Phase II,3.0,3,1220.0
3960,Pai Layout,2.0,2,1255.0
3961,other,3.0,3,1904.0
3962,Somasundara Palya,2.0,2,1329.0
3963,Chandapura,2.0,2,1200.0
3964,Murugeshpalya,3.0,3,2135.0
3965,other,4.0,3,2770.0
3966,other,1.0,1,813.0
3967,other,4.0,4,3884.0
3968,Doddaballapur,3.0,3,3876.0
3969,Kalena Agrahara,2.0,2,800.0
3970,other,2.0,4,4750.0
3971,Hormavu,3.0,3,1500.0
3972,Bannerghatta Road,3.0,3,1880.0
3973,Electronic City,2.0,3,1440.0
3974,Akshaya Nagar,3.0,3,1575.0
3975,other,2.0,3,1630.0
3976,Yelahanka,3.0,3,1180.0
3977,other,2.0,2,1090.0
3978,NGR Layout,2.0,2,1020.0
3979,other,4.0,4,2425.0
3980,Varthur,2.0,2,1097.0
3981,Raja Rajeshwari Nagar,2.0,2,1070.0
3982,Kumaraswami Layout,2.0,2,1000.0
3984,other,2.0,2,1150.0
3985,Frazer Town,4.0,3,1900.0
3986,other,2.0,2,1141.0
3987,Jigani,2.0,2,937.0
3988,Green Glen Layout,2.0,2,1075.0
3989,Panathur,2.0,2,1000.0
3990,Kasavanhalli,3.0,3,1450.0
3992,other,2.0,2,936.0
3993,other,2.0,2,1280.0
3994,Babusapalaya,2.0,2,1050.0
3995,Marathahalli,2.0,2,1350.0
3996,Mallasandra,2.0,2,1325.0
3997,Devanahalli,2.0,2,1174.0
3998,Hosur Road,3.0,3,1890.0
3999,other,1.0,1,735.0
4000,other,1.0,1,500.0
4001,Gottigere,3.0,3,1304.0
4002,Yelahanka,3.0,3,1653.0
4003,Bisuvanahalli,2.0,3,1075.0
4004,7th Phase JP Nagar,3.0,2,1212.0
4005,other,2.0,2,1100.0
4006,Rajaji Nagar,6.0,4,3436.0
4007,other,4.0,3,1200.0
4008,Billekahalli,2.0,2,1140.0
4009,other,2.0,2,1200.0
4010,Kudlu Gate,3.0,3,1532.0
4011,Doddaballapur,4.0,3,2776.0
4012,Padmanabhanagar,2.0,3,1531.0
4013,Poorna Pragna Layout,2.0,3,1270.0
4014,Uttarahalli,2.0,2,1325.0
4015,other,3.0,3,1200.0
4016,Electronic City,2.0,3,1156.0
4017,R.T. Nagar,4.0,4,2000.0
4018,Bannerghatta Road,2.0,2,1260.0
4019,Vittasandra,2.0,2,1934.0
4020,Malleshpalya,2.0,2,1060.0
4021,Kasavanhalli,3.0,3,1476.0
4022,Murugeshpalya,2.0,2,1185.0
4023,other,2.0,3,1265.0
4024,other,5.0,4,3200.0
4025,other,2.0,2,1196.0
4026,EPIP Zone,2.0,2,1280.0
4028,Hulimavu,2.0,2,1175.0
4029,other,3.0,3,1850.0
4030,Indira Nagar,4.0,4,2400.0
4031,Whitefield,2.0,2,1195.0
4032,Ulsoor,3.0,3,2000.0
4035,Hosur Road,2.0,2,1180.0
4036,Jakkur,2.0,2,1050.0
4037,Electronic City,2.0,3,1400.0
4038,other,4.0,4,2360.0
4039,other,2.0,2,1030.0
4040,other,1.0,2,1512.0
4041,Subramanyapura,2.0,2,929.0
4042,Jigani,3.0,3,1252.0
4043,Green Glen Layout,3.0,3,1485.0
4044,Electronics City Phase 1,2.0,3,1124.0
4045,TC Palaya,6.0,6,2400.0
4046,Indira Nagar,3.0,3,1407.0
4047,Hennur Road,2.0,3,1482.0
4048,Sector 7 HSR Layout,2.0,2,1163.0
4049,Jalahalli,3.0,3,1570.0
4050,Whitefield,4.0,3,3480.0
4051,Chandapura,1.0,1,520.0
4052,other,3.0,3,2000.0
4053,Prithvi Layout,2.0,2,1352.0
4054,Electronic City,2.0,2,1152.0
4055,other,3.0,3,1575.0
4056,Hegde Nagar,4.0,3,1965.0
4057,other,2.0,3,1300.0
4059,Marathahalli,2.0,2,957.0
4060,Hoskote,3.0,3,1740.0
4062,Neeladri Nagar,2.0,2,1060.0
4063,other,2.0,2,975.0
4064,Ramamurthy Nagar,2.0,2,1150.0
4065,Whitefield,2.0,3,1738.0
4066,Bommanahalli,3.0,3,1250.0
4067,Bannerghatta Road,3.0,3,1788.0
4068,Kanakapura,2.0,2,1151.0
4069,Uttarahalli,2.0,3,1300.0
4070,Garudachar Palya,2.0,2,1150.0
4071,other,2.0,2,1380.0
4072,Hebbal,3.0,3,1645.0
4073,Babusapalaya,2.0,2,1141.0
4074,7th Phase JP Nagar,2.0,2,1175.0
4075,Banashankari Stage V,2.0,3,1355.0
4076,Dasarahalli,2.0,2,1150.0
4077,other,5.0,5,5800.0
4078,other,2.0,2,1000.0
4079,Balagere,2.0,2,1007.0
4080,other,5.0,4,3000.0
4081,Kothanur,3.0,3,1436.0
4082,Marathahalli,4.0,4,4000.0
4083,Somasundara Palya,3.0,3,2372.0
4086,Rajaji Nagar,2.0,2,1200.0
4087,Rayasandra,2.0,2,1016.0
4088,Dodda Nekkundi,2.0,2,1100.0
4089,other,2.0,2,1080.0
4090,Electronic City,2.0,2,1070.0
4091,Kadubeesanahalli,3.0,3,1532.0
4092,Hennur,2.0,2,1040.0
4093,other,3.0,3,3100.0
4094,Tumkur Road,2.0,2,1137.5
4095,Thanisandra,2.0,3,1430.0
4096,Rajaji Nagar,1.0,2,1160.0
4097,ITPL,5.0,4,3262.0
4098,other,7.0,7,2100.0
4099,other,2.0,2,1190.0
4100,other,3.0,3,1827.0
4101,HRBR Layout,2.0,2,1210.0
4102,other,3.0,3,1500.0
4103,Rachenahalli,2.0,2,1050.0
4104,Hebbal,2.0,2,1251.0
4105,HSR Layout,2.0,3,1600.0
4106,Electronic City,2.0,2,1128.0
4107,Budigere,3.0,3,1820.0
4108,Thigalarapalya,4.0,3,2072.0
4109,Raja Rajeshwari Nagar,2.0,3,1510.0
4110,Hoodi,2.0,3,1925.0
4111,Hennur Road,2.0,3,2651.0
4112,Thigalarapalya,4.0,3,2072.0
4113,Kumaraswami Layout,2.0,2,1000.0
4114,KR Puram,3.0,3,1752.0
4115,Sahakara Nagar,2.0,2,960.0
4116,other,2.0,2,1180.0
4117,Benson Town,3.0,3,2270.0
4118,NRI Layout,2.0,2,650.0
4119,Lakshminarayana Pura,2.0,2,1200.0
4120,Bisuvanahalli,2.0,3,1180.0
4121,other,3.0,3,1300.0
4122,Bannerghatta Road,2.0,2,1157.0
4123,Kanakpura Road,3.0,3,1300.0
4124,Banashankari Stage III,2.0,3,1305.0
4125,Hegde Nagar,4.0,3,2006.0
4126,Jakkur,2.0,2,1290.0
4127,Hoskote,2.0,2,1170.0
4129,Yelachenahalli,2.0,2,1400.0
4130,Lakshminarayana Pura,2.0,2,1200.0
4131,other,2.0,3,1155.0
4132,Hormavu,3.0,3,1725.0
4133,Kanakpura Road,2.0,2,700.0
4134,other,5.0,4,7000.0
4135,Hoodi,2.0,2,1112.0
4136,Somasundara Palya,2.0,2,1178.0
4137,Badavala Nagar,2.0,2,1274.0
4138,Doddathoguru,2.0,2,915.0
4140,Hosur Road,1.0,1,760.0
4141,other,3.0,3,1540.0
4142,other,2.0,2,1206.0
4143,other,3.0,3,1645.0
4144,other,4.0,4,1200.0
4145,other,4.0,4,1200.0
4146,Nehru Nagar,3.0,4,2342.0
4147,other,2.0,3,1200.0
4148,Yelenahalli,2.0,2,1056.0
4149,Raja Rajeshwari Nagar,8.0,8,4800.0
4150,Kanakpura Road,3.0,3,1450.0
4151,other,2.0,2,1161.0
4152,other,2.0,2,1097.0
4153,Uttarahalli,2.0,2,850.0
4154,Green Glen Layout,3.0,3,1715.0
4155,Basavangudi,3.0,3,2300.0
4156,Electronic City,2.0,2,1200.0
4157,8th Phase JP Nagar,2.0,2,1080.0
4158,Kasavanhalli,2.0,2,1200.0
4159,other,4.0,4,2400.0
4160,Banashankari,2.0,3,1400.0
4161,Whitefield,4.0,4,1500.0
4162,Kanakpura Road,1.0,1,458.0
4163,Marathahalli,2.0,2,1230.0
4164,Kalyan nagar,3.0,3,1640.0
4165,Banashankari,3.0,3,1700.0
4166,Bommasandra,2.0,3,1478.0
4167,other,4.0,4,6600.0
4168,Banashankari,2.0,2,1020.0
4169,Nagarbhavi,2.0,2,1200.0
4170,Yelahanka,2.0,3,1275.0
4171,other,3.0,4,1600.0
4172,Kanakapura,2.0,2,1110.0
4173,Uttarahalli,3.0,3,1627.86
4174,other,2.0,2,620.0
4175,Whitefield,4.0,4,3004.0
4176,Hosa Road,2.0,2,1133.0
4177,Hennur Road,2.0,2,1182.0
4178,Tumkur Road,3.0,3,1500.0
4179,Hebbal Kempapura,5.0,4,3900.0
4180,Marathahalli,2.0,2,1200.0
4181,Raja Rajeshwari Nagar,2.0,2,1128.0
4182,other,2.0,2,900.0
4183,Amruthahalli,2.0,2,1100.0
4184,Kengeri Satellite Town,1.0,2,635.0
4185,Ardendale,3.0,4,2062.0
4186,Thanisandra,4.0,3,1874.0
4188,Old Madras Road,2.0,2,1171.0
4189,Sarjapur,3.0,3,2020.0
4190,8th Phase JP Nagar,2.0,2,1059.0
4191,Panathur,2.0,3,1315.0
4192,Jakkur,3.0,3,1760.0
4193,other,2.0,2,1200.0
4194,Hennur Road,2.0,3,1192.0
4195,Hebbal,3.0,3,1645.0
4196,Whitefield,2.0,2,1250.0
4197,Whitefield,1.0,1,709.0
4198,Whitefield,2.0,2,1340.0
4199,Cooke Town,4.0,3,2388.0
4200,Hosa Road,2.0,2,1369.1
4201,other,2.0,2,1355.0
4202,Bannerghatta Road,2.0,2,1150.0
4203,Kanakapura,3.0,3,1938.0
4204,Begur Road,4.0,4,2462.0
4205,Budigere,3.0,3,1636.0
4206,Akshaya Nagar,2.0,3,1430.0
4207,other,3.0,3,2000.0
4208,Electronic City Phase II,2.0,3,993.0
4209,Laggere,4.0,4,1260.0
4210,Kanakpura Road,3.0,3,1700.0
4211,Yelahanka,2.0,2,1270.0
4212,Anjanapura,3.0,3,1500.0
4213,Koramangala,3.0,3,2300.0
4214,other,4.0,4,7500.0
4215,Marathahalli,3.0,3,1650.0
4216,Panathur,2.0,2,1109.0
4217,other,2.0,2,1280.0
4218,Sarjapur,3.0,4,2885.0
4220,Devanahalli,3.0,3,1600.0
4221,Kothanur,3.0,3,1462.0
4222,Marathahalli,1.0,1,607.0
4223,Kammasandra,2.0,2,930.0
4224,Varthur,5.0,4,4500.0
4226,Malleshwaram,3.0,3,2600.0
4227,JP Nagar,4.0,4,3000.0
4228,Electronic City Phase II,3.0,3,1418.0
4229,other,1.0,2,4200.0
4230,EPIP Zone,2.0,2,1125.0
4231,CV Raman Nagar,3.0,3,1825.0
4232,Whitefield,2.0,2,1320.0
4233,JP Nagar,4.0,4,3000.0
4234,HAL 2nd Stage,2.0,3,1490.0
4235,other,3.0,4,1650.0
4236,Whitefield,2.0,2,750.0
4237,Yelahanka,2.0,3,1400.0
4238,other,4.0,4,4104.0
4239,Rajaji Nagar,4.0,4,5000.0
4240,Mahadevpura,4.0,5,3295.0
4242,Whitefield,3.0,3,1200.0
4243,Poorna Pragna Layout,2.0,2,965.0
4244,Gottigere,1.0,1,812.0
4245,KR Puram,2.0,2,1100.0
4246,Whitefield,2.0,2,1180.0
4247,HSR Layout,2.0,2,1145.0
4248,Haralur Road,2.0,2,1027.0
4249,other,2.0,2,1215.0
4250,Hegde Nagar,2.0,2,1200.0
